genre;profession;age;implication climatique;satisfaction implication climatique;vote vert ;trop nombreux sur terre;taxe carbonne;degré responsabilité ;resolution par progres scientifique;urgence climatique;discours pousse implication;penaliser groupes polluants;manifester;crise ecologique en vue;exageration question climat;renoncer viande;renoncer avion;renoncer enfant;renoncer voiture;consommer local;
Femme;Médecine;18-25;4;Non;Oui;Oui;Non;6;Oui;Oui;Oui;Oui;Non;Oui;Non;1;1;1;1;7;
Homme;Ingénierie;18-25;10;Oui;Oui;Non;Oui;4;Oui;Oui;Oui;Oui;Non;Oui;Non;1;1;1;1;1;
Femme;Film ;18-25;3;Non;Non;Oui;Oui;7;Non;Oui;Non;Oui;Oui;Oui;Non;4;1;5;2;5;
Femme;Architecture;18-25;3;Non;Oui;Oui;Oui;1;Oui;Oui;Oui;Oui;Oui;Oui;Non;6;2;4;3;7;
Femme;Marketing ;18-25;1;Non;Non;Non;Non;3;Non;Oui;Oui;Oui;Non;Oui;Oui;1;1;1;1;1;
Homme;Business;18-25;7;Oui;Oui;Oui;Oui;5;Non;Oui;Oui;Oui;Non;Oui;Non;1;1;1;7;7;
Femme;Médecine;18-25;4;Non;Non;Oui;Non;6;Oui;Oui;Non;Oui;Non;Oui;Non;8;6;1;4;6;
Homme;Business Analytics;18-25;7;Non;Oui;Non;Oui;6;Non;Oui;Oui;Oui;Oui;Oui;Non;5;4;2;6;7;
Homme;Ingénierie;18-25;5;Non;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Non;Non;Non;4;2;5;3;8;
Homme;Ingénierie;18-25;6;Non;Oui;Non;Oui;4;Oui;Oui;Oui;Oui;Oui;Oui;Non;6;8;1;8;9;
Homme;Ingénierie;18-25;6;Non;Non;Oui;Oui;6;Oui;Oui;Non;Oui;Non;Oui;Non;3;6;2;10;9;
Homme;Sport;26-35;7;Non;Oui;Oui;Oui;7;Non;Oui;Oui;Oui;Non;Oui;Non;6;4;1;3;5;
Femme;Ingénierie;18-25;7;Non;Oui;Oui;Non;8;Non;Oui;Oui;Oui;Non;Oui;Non;2;3;5;1;7;
Homme;Relations Internationales;18-25;7;Non;Non;Non;Non;5;Non;Oui;Non;Oui;Oui;Oui;Non;5;8;1;10;7;
Homme;Économie ;18-25;7;Oui;Non;Oui;Non;5;Non;Oui; ; ; ; ; ; ; ; ; ; ;
Homme;Ingénierie;18-25;2;Oui;Non;Oui;Oui;6;Oui;Non;Non;Oui;Non;Non;Oui;2;2;1;4;7;
Femme;Ingénierie;18-25;4;Non;Non;Non;Oui;5;Oui;Oui;Non;Oui;Non;Oui;Non;7;4;2;3;8;
Femme;Recherche;18-25;8;Non;Non;Oui;Oui;10;Non;Oui;Oui;Oui;Oui;Oui;Non;10;10;9;7;4;
Homme;Ingénierie;18-25;6;Non;Oui;Oui;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;7;9;9;3;8;
Femme;Architecture;18-25;8;Non;Oui;Oui;Oui;;Non;Oui;Oui;Oui;Oui;Oui;Non;10;10;5;5;8;
Femme;Architecture;26-35;7;Non;Non;Oui;Non;7;Oui;Oui;Non;Oui;Oui;Oui;Non;6;8;8;9;10;
Homme;Architecture;18-25;6;Non;Oui;Non;Oui;5;Oui;Oui;Oui;Oui;Oui;Oui;Non;8;6;1;7;7;
Femme;Ingénierie;18-25;5;Non;Non;Oui;Oui;6;Non;Oui;Non;Oui;Non;Oui;Non;7;8;3;10;9;
Femme;Paris sportifs;18-25;7;Oui;Non;Non;Oui;6;Oui;Non;Oui;Oui;Oui;Oui;Non;9;1;1;10;10;
Femme;Finance;18-25;8;Oui;Oui;Oui;Oui;9;Oui;Oui;Oui;Oui;Non;Oui;Non;7;2;6;8;7;
Homme;Sciences Sociales;18-25;7;Non;Oui;Non;Oui;8;Non;Oui;Oui;Oui;Oui;Oui;Non;10;8;1;3;10;
Homme;Architecture;18-25;7;Non;Oui;Non;Oui;5;Non;Oui;Oui;Oui;Oui;Oui;Non;10;10;1;5;10;
Homme;Droit;18-25;4;Non;Non;Oui;Oui;9;Non;Oui;Non;Oui;Non;Oui;Non;5;3;2;8;9;
Humain (pour être précis);Ingénierie;18-25;8;Non;Non;Oui;Non;10;Non;Non;Non;Non;Non;Oui;Non;1;1;1;6;10;
Homme;Ingénierie;18-25;8;Non;Non;Oui;Oui;6;Non;Oui;Oui;Oui;Oui;Oui;Non;10;6;1;7;10;
Homme;Ingénierie;18-25;10;Non;Oui;Oui;Oui;6;Non;Oui;Non;Oui;Oui;Oui;Non;10;8;2;8;5;
Homme;Finance;18-25;6;Oui;Non;Oui;Non;9;Non;Oui;Non;Oui;Non;Non;Non;1;1;1;5;7;
Homme;Ingénierie;18-25;7;Non;Non;Oui;Oui;6;Oui;Oui;Non;Oui;Oui;Oui;Non;3;3;2;3;9;
Femme;Ingénierie;18-25;4;Non;;Oui;Non;5;Oui;Oui;Oui;Oui;;Oui;Non;10;4;1;9;10;
Homme;Ingénierie;18-25;7;Non;Non;Oui;Oui;7;Non;Oui;Non;Non;Oui;Oui;Non;10;4;10;1;10;
Femme;Film ;18-25;3;Non;Non;Oui;Oui;7;Non;Oui;Non;Oui;Oui;Oui;Non;4;1;5;2;5;
Femme;Ingénierie;18-25;4;Non;Non;Non;Oui;5;Oui;Oui;Non;Oui;Non;Oui;Non;7;4;2;3;8;
Homme;Architecture;18-25;1;Oui;Non;Non;Non;1;Oui;Non;Non;Non;Non;Oui;Oui;1;1;1;1;6;
Homme;Ingénierie;18-25;2;Oui;Oui;Oui;Oui;10;Oui;Oui;Oui;Oui;Non;Oui;Non;10;1;6;4;10;
Homme;Ingénierie;18-25;6;Non;Oui;Oui;Oui;8;Oui;Oui;Oui;Oui;Oui;Oui;Non;8;5;6;7;5;
